Country,Year,GDP_per_capita,Population,Female_population,Male_population,Life_expectancy,GDP(inflation_adjusted),External_debt,Agriculture(percent_of_GDP),Industry(percent_of_GDP),Service(percent_of_GDP),Imports(percent_of_GDP),Exports(percent_of_GDP),Continent
Morocco,1/1/2006,5725,30702084,15679011,15173960,72.8,50863330782,17815316000,16.89011252,27.15156734,55.95832014,39.67894358,34.20127342,Africa
Morocco,1/1/2008,6091,31321453,16077298,15528318,73.3,55158232262,20824786000,14.63610659,30.31896351,55.04492989,50.86921113,37.47806104,Africa
Mozambique,1/1/1996,485,16412893,8583277,7847991,53.2,3183084365,7565881000,35.22373611,16.32141452,48.45484937,29.45055204,14.78647789,Africa
Mozambique,1/1/1998,562,17295521,9028924,8300335,53.4,3887330274,8362096000,30.84485763,21.95652616,47.19861621,24.55603654,12.24917262,Africa
Mozambique,1/1/2000,583,18200656,9481633,8767786,53.6,4248747769,7247234000,24.00979571,24.51863031,51.47157398,36.98020985,16.48020546,Africa
Mozambique,1/1/2002,671,19200021,9980986,9278479,53.8,5173488005,5033530000,27.82137658,23.14953768,49.02908574,48.85038234,27.33869423,Africa
Mozambique,1/1/2004,732,20246287,10500577,9810033,53.9,5917558733,4781758000,27.41312791,27.4173798,45.16949229,41.78822985,30.87775654,Africa
Mozambique,1/1/2006,801,21290952,11011814,10341652,54.1,6893450298,2930948000,27.85984794,26.42085836,45.7192937,47.22149128,38.35786836,Africa
Mozambique,1/1/2008,864,22332900,11512159,10870374,55,7900511175,3432380000,30.47388821,23.6606006,45.86551119,46.35292565,32.26696971,Africa
Nepal,1/1/1996,1443,22137784,11081701,11088924,62.4,4578620308,2398114000,41.50503735,22.91609554,35.57886711,35.64019356,22.81757512,Asia
Nepal,1/1/1998,1487,23255046,11658501,11635741,63.7,4954858717,2670621000,39.90571191,22.49221361,37.60207448,33.88755007,22.82205122,Asia
Nepal,1/1/2000,1577,24400606,12238646,12193110,64.9,5494252208,2867343000,40.81953519,22.13206279,37.04840202,32.42658529,23.28400371,Asia
Nepal,1/1/2002,1591,25562573,12824796,12737898,65.7,5764888196,2990351000,38.589953,18.09050714,43.31953987,28.49358898,17.73712952,Asia
Nepal,1/1/2004,1675,26717875,13404602,13271333,66.8,6272911560,3356825000,37.1730321,17.85663642,44.97033148,29.46459146,16.682658,Asia
Nepal,1/1/2006,1741,27833665,13962245,13796035,67.8,6709559955,3392309000,34.64208222,17.19766068,48.1602571,31.31536622,13.44718716,Asia
Nepal,1/1/2008,1866,28905358,14498109,14311417,68.6,7362028621,3685175000,32.7293888,17.3335699,49.9370413,33.74940232,12.11733349,Asia
Nicaragua,1/1/1996,3057,4733164,2387652,2368970,72.8,3276286557,5967312000,24.98564135,27.13704531,47.87731334,39.24994734,16.84735802,North America
Nicaragua,1/1/1998,3175,4911886,2478627,2458686,71.6,3532675436,6321641000,22.85097869,26.87029939,50.27872192,46.74840297,19.33444057,North America
Nicaragua,1/1/2000,3424,5073704,2561568,2539346,73.9,3936327817,6740322000,20.89005615,28.22454769,50.88539617,51.10446028,20.10816583,North America
Nicaragua,1/1/2002,3452,5219724,2637582,2611059,74.2,4083427038,6357055000,19.14709733,29.60363752,51.24926515,48.68977306,18.84713582,North America
Nicaragua,1/1/2004,3632,5356012,2709620,2676768,74.4,4408746006,5011575000,18.73934211,29.94335867,51.31729922,54.75844487,23.05985573,North America
Nicaragua,1/1/2006,3846,5493527,2783012,2741706,74.8,4788455384,4105636000,19.19856992,30.12691052,50.67451956,62.46251484,27.03885878,North America
Nicaragua,1/1/2008,4060,5635577,2859373,2807952,75.2,5099835101,3558398000,20.16513199,29.28795391,50.5469141,72.59088239,31.90969847,North America
Niger,1/1/1996,809,9499892,4842440,4779379,50.7,1616831446,1558732000,38.93400144,17.80008635,43.26591382,23.4620873,16.94646918,Africa
Niger,1/1/1998,854,10185812,5168927,5135030,51.9,1834509565,1690802000,42.62248374,16.71598015,40.66153612,26.32383341,17.76856402,Africa
Niger,1/1/2000,778,10922421,5520782,5510264,53,1798365123,1712721000,37.83973758,17.76007498,44.40018744,25.69509528,17.79912527,Africa
Niger,1/1/2002,798,11706182,5898406,5898455,54.5,1983894009,1849906000,39.56901111,16.98836594,43.44262295,24.11422528,15.20359598,Africa
Nigeria,1/1/2002,2922,129832447,65567207,65493584,56.1,48143264348,30475990000,48.56594011,30.5180869,20.91597299,32.55346974,31.86742244,Africa
Nigeria,1/1/2004,4098,136399438,68745308,68798291,56.5,58730834757,37766889000,34.21028658,42.0906464,23.69906702,31.05732457,43.95148654,Africa
Nigeria,1/1/2006,4353,143338939,72046704,72226478,57.2,65740242424,7633642000,31.99766576,41.9168355,26.08549875,27.72951917,42.86761803,Africa
Pakistan,1/1/1996,3324,130737306,64479543,69222340,62.2,66054490892,29828674000,25.48283815,24.16297086,50.35419099,21.42702506,16.90310178,Asia
Pakistan,1/1/1998,3266,137808222,68022881,72826294,62.3,68426177246,32261288000,27.31006367,23.80216084,48.88777549,17.526934,16.48479118,Asia
Pakistan,1/1/2000,3366,144522192,71627068,76505297,62.6,73952374970,32781107000,25.92936031,23.32566914,50.74497055,14.6882827,13.44132462,Asia
Pakistan,1/1/2002,3405,150407242,75111360,80082188,62.9,77850284715,33585612000,23.35388324,23.86177402,52.78434274,15.31401272,15.2236172,Asia
Pakistan,1/1/2004,3698,155860066,78572334,83651535,63.2,87637620104,35536063000,22.18350653,26.98750049,50.82899298,14.63322921,15.6668995,Asia
Pakistan,1/1/2006,4076,161513324,82136792,87332948,63.6,100186010330,35986610000,20.35645043,26.87281895,52.77073063,23.21858064,15.22981476,Asia
Pakistan,1/1/2008,4187,167442258,85814680,91137445,64.1,107569517452,49337417000,20.33123945,26.79214327,52.87661728,23.88018901,12.84804936,Asia
Panama,1/1/1996,8857,2731717,1349883,1377408,76,9526727264,6067266000,7.471740682,20.2454129,72.28284642,82.17783547,83.43184476,North America
Panama,1/1/1998,9713,2843276,1405151,1433271,76.4,10886841543,6405729000,7.448590714,18.82280329,73.728606,81.10587697,79.17768123,North America
Panama,1/1/2000,9954,2956126,1461048,1489753,76.9,11620500000,6572789000,7.236330715,19.14843028,73.615239,69.81885461,72.5751904,North America
Panama,1/1/2002,9836,3069123,1517231,1546054,77.2,11947728636,7921434000,7.543067839,16.04880297,76.40812919,62.28529057,67.45950262,North America
Panama,1/1/2004,10605,3181969,1573446,1602125,77.2,13386737514,8990410000,8.032004423,18.42368457,73.544311,63.90795032,67.60912034,North America
Panama,1/1/2006,11886,3294583,1629476,1658099,77.2,15573098990,10393991000,6.526252968,16.49474921,76.87663601,69.47773823,76.71471086,North America
Panama,1/1/2008,14033,3406487,1685097,1713726,77.1,19225857623,10721702000,5.437832698,16.94876087,76.69411519,75.35196687,85.19189969,North America
Papua New Guinea,1/1/1996,2245,4840693,2358279,2479597,56.5,3834234097,2507364000,33.30803191,36.64007436,30.05189373,48.39884426,59.40450781,Oceania
Papua New Guinea,1/1/1998,1969,5104153,2497393,2609891,56.2,3545656503,2712135000,35.47507893,33.01400545,31.51091562,48.81944253,54.04149029,Oceania
Papua New Guinea,1/1/2000,1856,5378824,2640684,2746929,56.9,3521348155,2555958000,35.77192679,41.41967029,22.80840293,49.2434789,66.17835957,Oceania
Papua New Guinea,1/1/2002,1758,5659946,2785280,2889415,57,3511488507,2436417000,39.95163939,36.70714763,23.34121299,58.00330011,60.91581069,Oceania
Papua New Guinea,1/1/2004,1756,5948135,2931773,3036742,57.2,3685102349,2286015000,37.7963236,38.87021493,23.33346147,58.91886147,72.16404946,Oceania
Papua New Guinea,1/1/2006,1819,6244916,3081432,3188206,57.5,3916288942,2354865000,35.87296573,45.09194069,19.03509358,65.7897901,82.08265016,Oceania
Papua New Guinea,1/1/2008,1982,6549268,3233820,3343002,58.2,4479545283,1417698000,33.60725505,47.94674615,18.4459988,61.83636332,74.56989184,Oceania
Paraguay,1/1/1996,6536,4905150,2427998,2483687,73.9,7168801119,2565458000,20.55768552,23.26475921,56.17755527,62.21545208,50.34299626,South America
Paraguay,1/1/1998,6527,5124050,2535223,2595483,74.1,7426066466,2792935000,17.58659953,22.68935472,59.72404575,59.72457927,50.23729023,South America
Paraguay,1/1/2000,6031,5343539,2643090,2707145,74.1,7071265939,3089476000,17.01500838,22.47849495,60.50649668,48.96783079,38.2291416,South America
Paraguay,1/1/2002,5742,5564709,2752410,2818715,74,7213731474,2997888000,17.53195882,22.22652019,60.24152099,48.75694358,43.42772324,South America
Paraguay,1/1/2004,5994,5786836,2863042,2929965,73.6,7800472023,3607413000,21.69971491,21.19672083,57.10356426,50.00533525,46.89242198,South America
Paraguay,1/1/2006,6180,6008597,2974771,3040609,73.5,8371707752,3422255000,20.20278497,20.44976933,59.3474457,58.23735418,52.71910802,South America
Paraguay,1/1/2008,6684,6230242,3087349,3150506,73.6,9458532785,4162655000,23.58751994,20.22039775,56.17335826,55.56439744,50.91940921,South America
Peru,1/1/1996,6260,24248671,12137355,12229851,71.8,48317368876,28958509000,9.205465917,30.2442038,60.55033029,18.15352181,13.29872222,South America
Peru,1/1/1998,6418,25079136,12554933,12647094,73,51294176779,30486207000,8.97755485,29.69337421,61.32907094,18.53196452,13.13596431,South America
Peru,1/1/2000,6485,25861887,12956987,13047175,74.3,53290390318,28643514000,8.499160947,29.89408053,61.60675852,18.1561232,16.00130576,South America
Peru,1/1/2002,6693,26579252,13338986,13425970,75.2,56085932802,28241036000,7.845658276,30.38613021,61.76821151,17.30454212,16.07388782,South America
Peru,1/1/2004,7137,27242033,13702379,13785059,75.9,61251271118,31568311000,7.288555422,32.97902398,59.73242059,17.81571546,21.45467254,South America
Peru,1/1/2006,7975,27866387,14049015,14126967,76.5,70497520780,28490949000,6.952271804,37.01676357,56.03096462,19.85512881,28.53011309,South America
Peru,1/1/2008,9249,28463338,14381916,14454784,76.8,84302372402,28554659000,7.369955612,36.91828598,55.7117584,27.08265335,27.25071661,South America
Philippines,1/1/1996,4112,70831419,35452634,36044845,68.9,71986809923,44001188000,20.61782145,32.08591285,47.2962657,49.29329875,40.50665724,Asia
Philippines,1/1/1998,4115,74040838,36986989,37600244,69.1,75282895149,53608204000,14.75983601,34.39020334,50.84996065,53.89801488,44.7642293,Asia
Philippines,1/1/2000,4243,77309965,38528193,39161176,69,81026294681,58303981000,13.96678221,34.45606899,51.5771488,53.36056603,51.36929375,Asia
Philippines,1/1/2002,4340,80630416,40069705,40719243,68.9,86410818147,59905800000,13.14558732,34.58374515,52.27066753,55.68807513,46.74700517,Asia
Philippines,1/1/2004,4672,83936698,41624653,42286708,68.9,96780891472,60967510000,13.30543689,33.75261962,52.94194349,54.06987225,48.57264858,Asia
Philippines,1/1/2006,4967,87116275,43215723,43883394,69.1,106721360539,60281798000,12.36913455,33.49273232,54.13813313,48.362769,46.57805687,Asia
Philippines,1/1/2008,5332,90173139,44840042,45508395,69.4,118507880852,64856320000,13.24346023,32.87777203,53.87876774,39.37022604,36.91204053,Asia
Poland,1/1/1996,11776,38398942,19828361,18775708,72.4,139802810346,43289639000,7.54644869,33.57655589,58.87699542,23.73945402,22.30846803,Europe
Poland,1/1/1998,13225,38366420,19821749,18717870,73,157167615405,56742735000,5.950719724,32.85894902,61.19033125,30.81284469,25.98127482,Europe
Poland,1/1/2000,14565,38302444,19794391,18638488,73.8,171276118424,64833573000,4.957839039,31.70754911,63.33461185,33.54639713,27.1243911,Europe
Poland,1/1/2002,14964,38230497,19766515,18564490,74.6,175842681117,76676645000,4.517027656,28.687321,66.79565135,32.09795468,28.63483795,Europe
Poland,1/1/2004,16314,38175134,19741666,18497593,75,192404689711,105318000000,5.104269988,30.7552348,64.14049521,39.84314328,37.49234753,Europe
Poland,1/1/2006,17959,38170330,19724042,18438549,75,211779433442,139033000000,4.288112167,31.10894898,64.60293885,42.1616915,40.35504622,Europe
Poland,1/1/2008,19996,38218462,19714771,18389254,75.3,237742898868,218022000000,3.734786955,31.53753417,64.72767888,43.8691361,39.8991871,Europe
Romania,1/1/1996,10969,22567385,11507183,11053688,69,41086280751,8454021000,20.56783235,42.46157946,36.97059447,36.56899286,28.14103179,Europe
Romania,1/1/1998,9855,22372555,11414673,10930203,69.8,36731311750,10107804000,16.21875496,35.3620384,48.41920201,30.64841213,22.62164566,Europe
Romania,1/1/2000,9970,22191683,11323220,10814649,70.8,37052636395,11160330000,12.51389704,36.37812966,51.1079733,37.9001366,32.6913315,Europe
Romania,1/1/2002,11429,22010781,11229699,10700216,71.2,41162034208,16695917000,12.76191298,37.89928797,49.33879905,41.08061771,35.40243588,Europe
Romania,1/1/2004,13286,21845264,11139069,10591630,72,46939862239,29573683000,14.33341,34.9531032,50.71348681,45.03464558,35.92703369,Europe
Romania,1/1/2006,15246,21705175,11052952,10488167,73,52761301149,53939381000,10.50657922,37.42179715,52.07162363,38.63365116,29.55487147,Europe
Romania,1/1/2008,18032,21589544,10971604,10389680,73.4,61198545647,104943000000,7.139933994,25.230687,67.62937901,43.77215805,30.98396497,Europe
Rwanda,1/1/1996,749,5803830,2948887,2711245,45.2,1203713148,1043646000,47.18929221,18.08581335,34.72489637,26.19869579,6.031370025,Africa
Rwanda,1/1/1998,768,6944116,3539236,3261419,44.8,1491825811,1226283000,45.51746118,18.70271899,35.77981455,23.20940001,5.585063573,Africa
Rwanda,1/1/2000,764,8098344,4134145,3823652,50,1734921293,1271564000,37.1867109,13.58188441,49.23140469,25.66912841,6.319815445,Africa
Rwanda,1/1/2002,880,8696378,4428342,4110355,52.7,2089452459,1435603000,35.49448563,13.9248475,50.58066687,26.23747544,7.035364936,Africa
Rwanda,1/1/2004,928,9009655,4565544,4254144,55.7,2293441523,1660862000,38.56196076,13.8786466,47.55939264,24.76236242,11.12400531,Africa
Rwanda,1/1/2006,1038,9441406,4759337,4450660,59.3,2737350891,418577000,38.43487533,13.75804763,47.80667902,25.28352585,11.05772167,Africa
Rwanda,1/1/2008,1173,10004092,5015980,4704714,62.2,3211350571,679250000,32.3858532,14.83790488,52.78157786,30.18961322,14.45654703,Africa
Samoa,1/1/1996,3925,169969,81574,88449,69.3,217381537,162808000,18.89667537,28.25815766,52.84516697,56.56861751,35.35606279,Oceania
Samoa,1/1/1998,3997,173543,83332,90310,69.6,224375384,154325000,19.1877217,24.34610356,56.46617474,56.28866479,36.3100931,Oceania
Samoa,1/1/2000,4326,176549,84694,91862,69.9,245617503,147288000,16.84075851,25.95982577,57.19941572,57.19241702,33.8170039,Oceania
Samoa,1/1/2002,4773,178488,85462,92725,70.3,274630825,156755000,14.56343904,28.47488929,56.96167168,75.53861302,32.87910428,Oceania
Samoa,1/1/2004,5155,179699,85755,93076,70.7,301501275,185677000,13.31680171,30.70322311,55.97997518,50.1536487,31.64914305,Oceania
Samoa,1/1/2006,5406,180766,85807,93197,71.1,320241629,205920000,12.16277061,30.06488727,57.77234212,58.98413974,32.46493356,Oceania
Samoa,1/1/2008,5731,181809,85703,93166,71.4,328406852,256752000,11.73124023,28.81031985,59.45843992,54.37594279,32.42161589,Oceania
Senegal,1/1/1996,1764,8591861,4458638,4439569,59,3914628506,3786104000,19.91699031,24.34144832,55.74156136,32.76459233,26.9840158,Africa
Senegal,1/1/1998,1834,9035367,4711654,4678443,59.2,4275047661,4096781000,19.36759338,23.68732384,56.94508278,34.26227447,27.69656396,Africa
Senegal,1/1/2000,1916,9505862,4974412,4927375,60,4691828357,3621930000,19.14190174,23.23078372,57.62731454,37.2167906,27.92511633,Africa
Senegal,1/1/2002,1915,10023194,5246738,5185924,61.1,4938886719,4110348000,15.52780009,25.46853094,59.00366897,38.96523972,28.54887099,Africa
Senegal,1/1/2004,2049,10581316,5531850,5457602,62.3,5578711668,3942051000,15.86329573,24.9337839,59.20292037,39.37186609,26.44126136,Africa
Senegal,1/1/2006,2099,11169549,5834990,5747873,63.4,6041595932,1923224000,14.77822544,23.04576736,62.1760072,43.04938236,25.59666064,Africa
Senegal,1/1/2008,2162,11787123,6155325,6055856,64.3,6569659707,2860776000,15.56599508,22.1802342,62.25377072,52.42951718,26.12822059,Africa
Serbia,1/1/2000,7741,10133561,5113426,5020605,74.7,6082791506,11499336000,19.92699154,30.4808612,49.59214726,40.49376189,23.8551788,Europe
Serbia,1/1/2002,8725,10013058,5056594,4956846,75.3,6669246165,11283527000,15.24222717,28.70617309,56.05159974,40.14248422,19.61741142,Europe
Serbia,1/1/2004,9983,9895409,5000726,4894774,75.6,7484445629,14321910000,13.81347993,29.63401981,56.55250026,50.11603734,23.49572425,Europe
Serbia,1/1/2006,11130,9835841,4971428,4863558,76,8172595498,19680028000,11.25316078,29.03829741,59.70854181,51.43132559,29.87495434,Europe
Serbia,1/1/2008,12522,9841360,4972474,4867023,76.4,8941244450,30918349000,10.64905703,28.1742573,61.17668568,57.62804344,31.07640408,Europe
Sierra Leone,1/1/1996,1061,3898177,2057335,1932903,52.2,807510834,1211712000,47.46503158,38.11303712,14.4219313,35.48382591,17.8199589,Africa
Sierra Leone,1/1/1998,1006,3953705,2090463,1962204,51.1,666703295,1280309000,61.80191467,24.71217618,13.48590915,19.04369456,16.20272744,Africa
Sierra Leone,1/1/2000,1006,4143115,2180535,2047643,52.2,635876870,1189825000,58.36216095,28.38758347,13.25025558,39.27933772,18.08142114,Africa
Sierra Leone,1/1/2002,1087,4505515,2339435,2200887,52.9,957766831,1355321000,47.80452931,24.72864101,27.46682968,35.8725567,17.56812747,Africa
Sierra Leone,1/1/2004,1154,4952134,2534960,2390962,53.8,1125375032,1627611000,44.90586947,24.20270363,30.8914269,33.45316194,22.53659865,Africa
Sierra Leone,1/1/2006,1185,5327364,2708985,2561814,54.9,1293976843,1265496000,51.08807171,23.1759129,25.73601539,32.53297151,24.9439278,Africa
Sierra Leone,1/1/2008,1289,5612129,2853895,2705958,55.9,1453557725,388781000,50.20640214,23.49436281,26.29923504,29.39232041,16.34252437,Africa
Solomon Islands,1/1/1996,2257,366363,179466,192719,61.3,508352107,147495000,41.12456928,15.787825,43.08760572,55.80968446,34.4215122,Oceania
Solomon Islands,1/1/1998,2142,386906,189752,203722,61.6,509971269,154585000,37.50115945,13.95046842,48.54837214,52.67078008,36.18774791,Oceania
Solomon Islands,1/1/2000,1731,408732,200405,215139,61.7,435101217,155354000,34.67779979,12.71818096,52.60401925,38.63246319,24.08996477,Oceania
Solomon Islands,1/1/2002,1468,432107,211393,226924,61.8,389175565,179849000,30.98258081,12.18426594,56.83315326,30.47957954,20.06673514,Oceania
Solomon Islands,1/1/2004,1557,456919,222708,239063,61.9,434774351,177045000,37.65155653,9.459311851,52.88913162,42.36714632,30.93033196,Oceania
Solomon Islands,1/1/2006,1672,483000,234360,251564,62.2,490183884,173424000,35.6536254,6.752957713,57.59341689,57.23534659,36.13788738,Oceania
Solomon Islands,1/1/2008,1835,510221,246303,264369,62.6,582245810,164825000,41.21920987,6.058607678,52.72218245,57.75675167,37.29684296,Oceania
South Africa,1/1/1996,9925,42175740,21408483,20758900,62.9,120799393016,26050001000,4.194740453,33.44562824,62.35963131,23.19589988,24.72934693,Africa
South Africa,1/1/1998,9770,43516225,22137803,21423924,60.1,124638205612,24752715000,3.768703469,32.18230498,64.04899155,24.51052175,25.65286277,Africa
South Africa,1/1/2000,9927,44760380,22813278,22058615,57.1,132877648091,24860978000,3.274923749,31.7818275,64.94324875,24.91541385,27.8709062,Africa
South Africa,1/1/2002,10213,46015405,23482904,22714578,54.6,141519467703,25099077000,4.150523085,32.61320995,63.23626697,29.08718916,32.92328541,Africa
South Africa,1/1/2004,10715,47226670,24118732,23358344,53.3,152328632239,27112443000,3.107980482,31.27498819,65.61703132,26.72127568,26.42246408,Africa
South Africa,1/1/2006,11597,48330914,24689660,23948858,53.3,169353717106,35523165000,2.884338356,31.15824461,65.95741704,32.45342652,30.00602007,Africa
South Africa,1/1/2008,12263,49319363,25190381,24477247,55,185217195736,41943203000,3.221473083,32.61970029,64.17712836,38.6315876,35.78538273,Africa
Sri Lanka,1/1/1996,4184,18340596,9152140,9208444,71.8,13259019496,8298458000,22.43143746,26.44733552,51.12122701,43.90062594,34.97333778,Asia
Sri Lanka,1/1/1998,4550,18510095,9278643,9280424,72.2,14771179512,9047873000,21.10613153,27.54056301,51.35330546,42.25117045,36.24381868,Asia
Sri Lanka,1/1/2000,4946,18745084,9413606,9353481,72.4,16330810304,9157099000,19.89995192,27.28056385,52.81948423,49.6207526,39.01571015,Asia
Sri Lanka,1/1/2002,5111,19134096,9583431,9456523,73.5,16715893245,9739614000,14.27932253,28.01067458,57.71000289,41.42180159,34.9133302,Asia
Sri Lanka,1/1/2004,5559,19610604,9777013,9584607,73.7,18673120685,11085115000,12.54380414,28.61810152,58.83809434,44.15204217,35.33090273,Asia
Sri Lanka,1/1/2006,6223,20062070,9975112,9728808,74.4,21359771931,11641421000,11.33628023,30.64229518,58.02142459,41.13265139,30.12852709,Asia
Sri Lanka,1/1/2008,6907,20473799,10174176,9886462,74.3,24169041086,15154107000,13.37919773,29.37118809,57.24961418,38.52754777,24.84148147,Asia
Sudan,1/1/1996,1992,24601180,15732261,15917144,62.9,9595511990,16971981000,43.76211224,15.04802856,41.18985686,15.75127979,7.454829804,Africa
Sudan,1/1/1998,2175,25889911,16547719,16750436,63.4,11066552696,16843013000,46.34830809,15.20569779,38.44599367,15.17304257,6.702093699,Africa
Sudan,1/1/2000,2258,27193105,17342120,17561850,64.4,12366140066,16009204000,41.70707354,21.50963265,36.78329382,17.7015624,15.98455695,Africa
Sudan,1/1/2002,2419,28488328,18085711,18321147,65.2,13832329600,16064164000,42.08515989,20.55906556,37.35577454,19.5234986,13.97899938,Africa
Sudan,1/1/2004,2557,29830604,18824360,19075406,65.6,15088237417,18198752000,35.23349101,25.82637057,38.94013842,21.44535416,17.75796294,Africa
Sudan,1/1/2006,2858,31314098,19638215,19906850,66.6,17854598587,18220348000,30.06069686,29.17303055,40.76627259,27.45671473,19.43312316,Africa
Sudan,1/1/2008,3246,32941836,20529747,20817976,67.4,21013966787,19632733000,26.24972855,34.03490641,39.71536504,21.60303348,24.50287252,Africa
Swaziland,1/1/1996,5125,984632,515319,476764,56.9,1375533130,234630000,14.22359385,43.14703723,42.62936892,80.63239016,59.35483225,Africa
Swaziland,1/1/1998,5189,1028708,539785,500802,52.7,1455144080,301169000,13.17838386,45.03347722,41.78813892,84.77671722,67.17377489,Africa
Swaziland,1/1/2000,5257,1063832,559359,520331,48.7,1524452437,264775000,12.20090462,43.91476862,43.88432676,88.01479059,74.32666333,Africa
Swaziland,1/1/2002,5320,1082777,568953,532245,45.7,1569510074,317247000,10.29951582,44.66439804,45.03608614,101.0298972,95.71147378,Africa
Swaziland,1/1/2004,5533,1095487,574101,540904,43.9,1651311226,411899000,8.894907909,46.43628606,44.66880603,87.46962216,84.92939551,Africa
Swaziland,1/1/2006,5733,1117604,583427,553285,44,1747867421,402946000,7.83497299,46.68598876,45.47903825,79.00911732,76.61607053,Africa
Swaziland,1/1/2008,5887,1150344,597721,570113,46.1,1851757910,362324000,7.88708649,46.43903124,45.67388227,68.6800016,59.36104542,Africa
Tajikistan,1/1/1996,1040,5860334,2925162,2933216,63.8,715516620,699361000,38.98366917,31.56200847,29.45432236,80.04651338,76.58830474,Asia
Tajikistan,1/1/1998,1086,6027676,3001510,3019882,65,766247464,1243105000,27.1654788,27.00562952,45.82889169,58.00947139,48.91504104,Asia
Tajikistan,1/1/2000,1186,6172807,3079481,3093410,66.3,860550294,1033707000,27.42246936,38.85463062,33.72290001,100.9128309,98.76220248,Asia
Tajikistan,1/1/2002,1398,6285809,3161058,3149475,67.4,1034624143,1141631000,24.66404864,39.42910868,35.90684268,76.09221042,65.46116239,Asia
Tajikistan,1/1/2004,1645,6391120,3249953,3203333,68.4,1261012321,1041425000,21.6044211,31.79252575,46.60305315,69.9080582,58.31411276,Asia
Tajikistan,1/1/2006,1800,6524634,3349301,3277769,69,1175016606,1016412000,24.79197438,27.4362882,47.77173743,57.15659657,23.18760885,Asia
Tajikistan,1/1/2008,2001,6691416,3460033,3376050,69.5,1733997805,1466067000,24.7100439,26.86441369,48.42554241,71.98404778,16.75721078,Asia
Tanzania,1/1/1996,1392,30783155,15551362,15271842,54.8,8623618943,7336170000,48.03031606,14.21800467,37.75167926,31.94350737,19.93716494,Africa
Tanzania,1/1/1998,1421,32388671,16365575,16087469,54.5,9258707528,7502895000,33.76268592,20.08847813,46.14883596,25.01989802,12.39772917,Africa
Tanzania,1/1/2000,1488,34038161,17198997,16932315,54.8,10185786171,7135832000,33.48265835,19.1808269,47.33651475,20.12594462,13.36490944,Africa
Tanzania,1/1/2002,1607,35832494,18100511,17857064,55.6,11570140451,7078635000,32.45784134,21.06337898,46.47877968,19.8403333,17.58075321,Africa
Tanzania,1/1/2004,1756,37786946,19078657,18866819,56.7,13335003311,8557358000,33.3277215,22.34914367,44.32313483,26.06580553,19.65127524,Africa
Tanzania,1/1/2006,1880,39923609,20147613,19969630,57.9,15282420026,4027728000,30.40878228,22.87705201,46.7141657,35.69757165,22.56245211,Africa
Tanzania,1/1/2008,2030,42267667,21313616,21170307,59.7,17592588002,5937610000,29.71249828,23.13566753,47.1518342,38.78709255,25.14248143,Africa
Thailand,1/1/1996,9689,60258113,30670317,29950368,70.8,127087651039,112838000000,9.501520234,40.81939366,49.67908539,45.5262464,39.25165463,Asia
Thailand,1/1/1998,8363,61660383,31160019,30239206,70.9,112171099813,104917000000,10.77688838,39.63296528,49.590152,42.98994577,58.87786233,Asia
Thailand,1/1/2000,8939,63155029,31699535,30647287,71.3,122725247706,79719917000,9.023141829,41.99100052,48.98585765,58.14456467,66.77764842,Asia
Thailand,1/1/2002,9399,64642931,32402924,31331513,71.8,132052469496,59380749000,9.434795124,42.4399103,48.12529458,57.50258144,64.1943345,Asia
Thailand,1/1/2004,10497,66060383,33155136,32123519,72,150456640790,52721847000,10.30604012,43.39783366,46.29612622,65.84057141,70.69704858,Asia
Thailand,1/1/2006,11400,67276383,33768391,32738163,73.3,165400160325,56271373000,10.76635523,44.34963739,44.88400738,70.15691237,73.64689515,Asia
Thailand,1/1/2008,12216,68267982,34231738,33154645,74.1,178059776977,64797754000,11.56045295,44.0528713,44.38667575,73.88140939,76.44460097,Asia
Togo,1/1/1996,1272,4208738,2313315,2261611,59.1,1139069514,1488113000,40.8371031,21.06048699,38.10241209,44.1403893,33.28203792,Africa
Togo,1/1/1998,1351,4500173,2482050,2426585,59.2,1272874177,1471832000,34.96374082,16.86141444,48.17484649,43.30148016,29.68634233,Africa
Togo,1/1/2000,1305,4793504,2653231,2594255,59,1294243543,1429607000,35.14112169,17.84846273,47.93405775,50.71330566,34.38355145,Africa
Togo,1/1/2002,1207,5050919,2807369,2745802,58.8,1261447985,1584430000,38.19171068,18.50627877,43.34395959,51.71843765,36.51717142,Africa
Togo,1/1/2004,1228,5288273,2953338,2889954,58.9,1352000397,1833626000,36.23331062,22.77736931,36.03049157,46.9966931,38.56471514,Africa
Tonga,1/1/1996,4256,96196,48212,49472,69.2,171231690,62485000,23.85858672,22.30201714,53.83939614,58.37526109,20.35008595,Oceania
Tonga,1/1/1998,4331,96966,48316,49706,69.2,175655711,64254000,24.86258531,19.34481002,55.79260467,59.58027998,19.71753439,Oceania
Tonga,1/1/2000,4605,97935,48561,50026,69.1,188623258,65245000,22.8280015,21.28825664,55.88374185,46.86277111,15.40094183,Oceania
Tonga,1/1/2002,4878,99053,49137,50612,69.1,202718153,72290000,21.66895242,21.12476703,57.20628055,55.77683121,18.2241302,Oceania
Tonga,1/1/2004,4959,100286,49882,51323,69.3,210125331,84944000,24.10385713,19.25415724,56.64198563,54.59188338,19.44701241,Oceania
Tonga,1/1/2006,4920,101584,50549,51946,69.7,208373017,81637000,19.65459102,18.19568,62.14972898,50.34935648,14.37494018,Oceania
