Country,Year,GDP_per_capita,Population,Female_population,Male_population,Life_expectancy,GDP(inflation_adjusted),External_debt,Agriculture(percent_of_GDP),Industry(percent_of_GDP),Service(percent_of_GDP),Imports(percent_of_GDP),Exports(percent_of_GDP),Continent
Iran,1/1/1996,11043,60815686,31083054,32103786,69.7,88972035744,16465521000,15.6114971,36.89004672,47.49845787,14.9629922,20.83611858,Asia
Iran,1/1/1998,11311,63133032,32020358,33099971,70.4,94504455313,12214947000,17.27458606,27.57288542,55.15253235,15.66749751,13.62872081,Asia
Iran,1/1/2000,11719,65342319,32854439,34048438,71.2,101286514977,7718492000,13.72451564,36.74115005,49.53433576,17.43240419,22.70745811,Asia
Iran,1/1/2002,12712,67212850,33599014,34880884,72.2,112895031237,8684773000,12.03584186,41.38812641,46.57603447,22.72803329,26.53795026,Asia
Iran,1/1/2004,13975,68893323,34320941,35660741,73.8,127075151562,20923861000,11.22681015,42.73576547,46.03742439,25.92821501,29.04727631,Asia
Iran,1/1/2006,15127,70582086,35119799,36465002,75.4,140786359715,19375716000,10.36458415,43.64138711,45.99402874,24.41458613,32.45074422,Asia
Jamaica,1/1/1996,8531,2484672,1260937,1225759,73.5,9153209417,4060526000,8.385567352,34.14488011,57.46955072,55.28183703,43.78634517,North America
Jamaica,1/1/2006,8954,2696334,1369733,1313114,75.2,10235624545,7952542000,5.758902681,24.66301263,69.57808469,59.38389868,40.13997199,North America
Jamaica,1/1/2008,8951,2720282,1382643,1325024,75.5,10121988641,10034046000,5.387437643,23.36009858,71.25246377,69.1895082,41.9356394,North America
Jordan,1/1/1996,7443,4510082,2126994,2323528,72.9,7379252157,7385455000,3.826867314,26.13476879,70.0383639,78.16908599,52.87136411,Asia
Jordan,1/1/1998,7503,4682018,2236567,2420493,73,7852971166,7560998000,3.065368669,26.44434826,70.49028307,64.24229777,44.78464734,Asia
Jordan,1/1/2000,7695,4827096,2342146,2511214,73.1,8463892909,7354865000,2.345836007,25.54511652,72.10904748,68.47639521,41.81206152,Asia
Jordan,1/1/2002,8160,4998372,2470172,2632597,73.4,9425387992,8108224000,2.546152034,27.08975397,70.36409399,66.60387909,47.41148424,Asia
Jordan,1/1/2004,8788,5210369,2619282,2780306,73.9,10659607238,8066184000,2.808625123,28.60071586,68.59065901,82.43439936,52.19094306,Asia
Jordan,1/1/2006,9818,5495117,2793058,2953778,75.1,12459768320,8054983000,2.946032318,27.74403667,69.43562418,84.56781877,53.87448768,Asia
Jordan,1/1/2008,10897,5848952,2987010,3148570,76.8,14453260027,6576967000,2.696642934,32.63956996,64.78128029,84.71571397,56.50591605,Asia
Kazakhstan,1/1/1996,8243,15712544,8129326,7581834,63.1,16259164536,2922217000,12.7881388,26.92690152,60.28495968,36.00476836,35.26880493,Asia
